Site,Year,Sex,Survival,SVL,Mass,Log10 SVL,Log10  Mass,Ln SVL,Ln Mass,Ri Condition,Mi Condition,Std SVL,Std Mass,Std Ri Condition,Std Mi Condition,Relative W
Flamingo Bay Cay,2005,f,0,48,2.1,1.681241237,0.491361694,3.871201011,0.741937345,0.012297716,1.797417914,0.873890533,0.907643312,0.354401026,0.033115689,0
Flamingo Bay Cay,2005,f,0,46,1.93,1.662757832,0.46686762,3.828641396,0.657520003,0.014200937,1.883444974,0.134245562,0.366242038,0.409248904,0.417165062,0
Flamingo Bay Cay,2005,f,1,46,1.94,1.662757832,0.46834733,3.828641396,0.662687973,0.015680647,1.893203756,0.134245562,0.398089172,0.451891845,0.460731054,7.299270073
Flamingo Bay Cay,2005,f,0,46,1.94,1.662757832,0.46834733,3.828641396,0.662687973,0.015680647,1.893203756,0.134245562,0.398089172,0.451891845,0.460731054,0
Flamingo Bay Cay,2005,f,0,46,1.95,1.662757832,0.469822016,3.828641396,0.667829373,0.017155333,1.902962538,0.134245562,0.429936306,0.494389988,0.504297046,0
Flamingo Bay Cay,2005,f,0,48,2.14,1.681241237,0.496929648,3.871201011,0.760805829,0.01786567,1.831654446,0.873890533,1.035031847,0.514860802,0.185957349,0
Flamingo Bay Cay,2005,f,0,43,1.7,1.633468456,0.431363764,3.761200116,0.530628251,0.02052705,2.04227587,-0.975221893,-0.366242038,0.591557644,1.126231561,0
Flamingo Bay Cay,2005,f,0,44,1.8,1.643452676,0.447158031,3.784189634,0.587786665,0.022062234,2.014496981,-0.605399408,-0.047770701,0.635799253,1.002218666,0
Flamingo Bay Cay,2005,f,0,45,1.91,1.653212514,0.463892989,3.80666249,0.647103242,0.024858564,1.994562569,-0.235576923,0.302547771,0.716385143,0.913225753,0
Flamingo Bay Cay,2005,f,0,49,2.3,1.69019608,0.51851394,3.891820298,0.832909123,0.026660997,1.847390824,1.243713018,1.544585987,0.768328444,0.256209035,0
Flamingo Bay Cay,2005,f,0,47,2.14,1.672097858,0.496929648,3.850147602,0.760805829,0.030923896,1.954444939,0.504068047,1.035031847,0.891178545,0.734129192,0
Flamingo Bay Cay,2005,f,1,51,2.54,1.707570176,0.549003262,3.931825633,0.932164081,0.032337298,1.803506445,1.983357988,2.308917197,0.931910606,0.060296629,7.299270073
Flamingo Bay Cay,2005,f,0,46,2.07,1.662757832,0.487138375,3.828641396,0.727548607,0.034471692,2.020067925,0.134245562,0.812101911,0.993420521,1.027088952,0
Flamingo Bay Cay,2005,f,0,48,2.3,1.681241237,0.51851394,3.871201011,0.832909123,0.039449962,1.968600573,0.873890533,1.544585987,1.136886503,0.797323986,0
Flamingo Bay Cay,2005,f,0,45,2.1,1.653212514,0.491361694,3.80666249,0.741937345,0.052327269,2.192974552,-0.235576923,0.907643312,1.50799047,1.798993536,0
Flamingo Bay Cay,2005,f,0,40,1.89,1.602059991,0.460897843,3.688879454,0.636576829,0.094917499,2.837449727,-2.084689349,0.238853503,2.735374617,4.676114854,0
Flamingo Bay Cay,2008,f,0,42,1,1.62324929,0.301029996,3.737669618,0,-0.065533961,1.225975155,-0.816633551,-1.448598131,-1.697771021,-1.989087543,0
Flamingo Bay Cay,2008,f,0,52,1.9,1.716003344,0.462397998,3.951243719,0.641853886,-0.061001236,1.20785988,2.021856372,0.654205607,-1.580342892,-2.089171931,0
Flamingo Bay Cay,2008,f,1,45,1.3,1.653212514,0.361727836,3.80666249,0.262364264,-0.055500111,1.289104455,0.034913426,-0.747663551,-1.43782671,-1.640306876,1.841620626
Flamingo Bay Cay,2008,f,1,48,1.6,1.681241237,0.414973348,3.871201011,0.470003629,-0.049647597,1.300997358,0.886460403,-0.046728972,-1.286207165,-1.574600231,1.841620626
Flamingo Bay Cay,2008,f,0,48,1.6,1.681241237,0.414973348,3.871201011,0.470003629,-0.049647597,1.300997358,0.886460403,-0.046728972,-1.286207165,-1.574600231,0
Flamingo Bay Cay,2008,f,0,49,1.7,1.69019608,0.431363764,3.891820298,0.530628251,-0.048398677,1.297386015,1.170309395,0.186915888,-1.253851747,-1.594552402,0
Flamingo Bay Cay,2008,f,0,50,1.8,1.698970004,0.447158031,3.912023005,0.587786665,-0.047439997,1.290960573,1.454158388,0.420560748,-1.229015478,-1.630052083,0
Flamingo Bay Cay,2008,f,1,42,1.1,1.62324929,0.322219295,3.737669618,0.09531018,-0.044344662,1.34857267,-0.816633551,-1.214953271,-1.148825449,-1.311753203,1.841620626
Flamingo Bay Cay,2008,f,1,42,1.1,1.62324929,0.322219295,3.737669618,0.09531018,-0.044344662,1.34857267,-0.816633551,-1.214953271,-1.148825449,-1.311753203,1.841620626
Flamingo Bay Cay,2008,f,1,43,1.2,1.633468456,0.342422681,3.761200116,0.182321557,-0.041420581,1.368481662,-0.532784559,-0.981308411,-1.073072059,-1.201758774,1.841620626
Flamingo Bay Cay,2008,f,0,43,1.2,1.633468456,0.342422681,3.761200116,0.182321557,-0.041420581,1.368481662,-0.532784559,-0.981308411,-1.073072059,-1.201758774,0
Flamingo Bay Cay,2008,f,0,45,1.4,1.653212514,0.380211242,3.80666249,0.336472237,-0.037016705,1.388266337,0.034913426,-0.514018692,-0.958982003,-1.092451179,0
Flamingo Bay Cay,2008,f,1,46,1.5,1.662757832,0.397940009,3.828641396,0.405465108,-0.035427854,1.390222022,0.318762418,-0.280373832,-0.917820046,-1.08164629,1.841620626
Flamingo Bay Cay,2008,f,1,49,1.8,1.69019608,0.447158031,3.891820298,0.587786665,-0.03260441,1.37370284,1.170309395,0.420560748,-0.844673841,-1.172912489,1.841620626
Flamingo Bay Cay,2008,f,1,49,1.8,1.69019608,0.447158031,3.891820298,0.587786665,-0.03260441,1.37370284,1.170309395,0.420560748,-0.844673841,-1.172912489,1.841620626
Flamingo Bay Cay,2008,f,1,50,1.9,1.698970004,0.462397998,3.912023005,0.641853886,-0.032200031,1.362680605,1.454158388,0.654205607,-0.834197692,-1.233808814,1.841620626
Flamingo Bay Cay,2008,f,0,40,1,1.602059991,0.301029996,3.688879454,0,-0.029705559,1.424422298,-1.384331536,-1.448598131,-0.769574058,-0.892694484,0
Flamingo Bay Cay,2008,f,1,43,1.3,1.633468456,0.361727836,3.761200116,0.262364264,-0.022115426,1.4825218,-0.532784559,-0.747663551,-0.572938504,-0.57170276,1.841620626
Flamingo Bay Cay,2008,f,1,44,1.4,1.643452676,0.380211242,3.784189634,0.336472237,-0.020514065,1.48759357,-0.248935566,-0.514018692,-0.531452461,-0.543681935,1.841620626
Flamingo Bay Cay,2008,f,1,44,1.4,1.643452676,0.380211242,3.784189634,0.336472237,-0.020514065,1.48759357,-0.248935566,-0.514018692,-0.531452461,-0.543681935,1.841620626
Flamingo Bay Cay,2008,f,1,44,1.4,1.643452676,0.380211242,3.784189634,0.336472237,-0.020514065,1.48759357,-0.248935566,-0.514018692,-0.531452461,-0.543681935,1.841620626
Flamingo Bay Cay,2008,f,1,45,1.5,1.653212514,0.397940009,3.80666249,0.405465108,-0.019287938,1.487428218,0.034913426,-0.280373832,-0.499687522,-0.544595482,1.841620626
Flamingo Bay Cay,2008,f,1,45,1.5,1.653212514,0.397940009,3.80666249,0.405465108,-0.019287938,1.487428218,0.034913426,-0.280373832,-0.499687522,-0.544595482,1.841620626
Flamingo Bay Cay,2008,f,1,45,1.5,1.653212514,0.397940009,3.80666249,0.405465108,-0.019287938,1.487428218,0.034913426,-0.280373832,-0.499687522,-0.544595482,1.841620626
Flamingo Bay Cay,2008,f,1,46,1.6,1.662757832,0.414973348,3.828641396,0.470003629,-0.018394514,1.48290349,0.318762418,-0.046728972,-0.476541826,-0.56959398,1.841620626
Flamingo Bay Cay,2008,f,0,46,1.6,1.662757832,0.414973348,3.828641396,0.470003629,-0.018394514,1.48290349,0.318762418,-0.046728972,-0.476541826,-0.56959398,0
Flamingo Bay Cay,2008,f,0,47,1.7,1.672097858,0.431363764,3.850147602,0.530628251,-0.017796892,1.474759645,0.602611411,0.186915888,-0.46105937,-0.614587596,0
Flamingo Bay Cay,2008,f,0,49,1.9,1.69019608,0.462397998,3.891820298,0.641853886,-0.017364444,1.450019664,1.170309395,0.654205607,-0.449856055,-0.751272575,0
Flamingo Bay Cay,2008,f,0,40,1.1,1.602059991,0.322219295,3.688879454,0.09531018,-0.00851626,1.566864528,-1.384331536,-1.214953271,-0.220628486,-0.105720839,0
Flamingo Bay Cay,2008,f,0,41,1.2,1.612783857,0.342422681,3.713572067,0.182321557,-0.006445562,1.584324447,-1.100482543,-0.981308411,-0.166983482,-0.0092572,0
