Site,Year,Sex,Survival,SVL (mm),Mass (g),Log10 SVL,Log10 Mass,Ln SVL,Ln Mass,Ri Condition,Mi Condition,Std SVL,Std Mass,Std Ri Condition,Std Mi Condition,Relative W
Mystery Cay,2009,m,0,65,6.7,1.812913357,0.886490725,4.17438727,1.902107526,0.022416657,4.327570454,1.751877934,2.034728406,0.563232592,-0.020173203,0
Mystery Cay,2009,m,0,65,6.4,1.812913357,0.86923172,4.17438727,1.85629799,0.005157652,4.133798642,1.751877934,1.767586821,0.129589239,-0.394973612,0
Nightmare Cay,2005,m,0,44,1.5,1.643452676,0.397940009,3.784189634,0.405465108,-0.008043879,4.084385124,-2.388432222,-2.113700565,-0.236584676,-0.525669459,0
Nightmare Cay,2005,m,0,44,1.4,1.643452676,0.380211242,3.784189634,0.336472237,-0.025772646,3.812092782,-2.388432222,-2.184322034,-0.758019,-1.154520133,0
Nightmare Cay,2005,m,0,45,1.8,1.653212514,0.447158031,3.80666249,0.587786665,0.017715662,4.556664146,-2.238977731,-1.901836158,0.521048882,0.565044218,0
Nightmare Cay,2005,m,0,45,1.8,1.653212514,0.447158031,3.80666249,0.587786665,0.017715662,4.556664146,-2.238977731,-1.901836158,0.521048882,0.565044218,0
Nightmare Cay,2005,m,1,46,1.6,1.662757832,0.414973348,3.828641396,0.470003629,-0.03741189,3.771633512,-2.08952324,-2.043079096,-1.100349706,-1.247959557,3.731343284
Nightmare Cay,2005,m,1,46,2,1.662757832,0.477121255,3.828641396,0.693147181,0.024736017,4.71454189,-2.08952324,-1.76059322,0.727529897,0.929657945,3.731343284
Nightmare Cay,2005,m,0,47,2,1.672097858,0.477121255,3.850147602,0.693147181,0.002286581,4.396837891,-1.940068749,-1.76059322,0.067252382,0.195930465,0
Nightmare Cay,2005,m,1,48,2,1.681241237,0.477121255,3.871201011,0.693147181,-0.019690199,4.106570952,-1.790614258,-1.76059322,-0.5791235,-0.474431981,3.731343284
Nightmare Cay,2005,m,0,48,2.7,1.681241237,0.568201724,3.871201011,0.993251773,0.07139027,5.543870785,-1.790614258,-1.266242938,2.099713821,2.844967172,0
Nightmare Cay,2005,m,0,49,2.4,1.69019608,0.531478917,3.891820298,0.875468737,0.013143844,4.609046263,-1.641159767,-1.478107345,0.386583659,0.686019083,0
Nightmare Cay,2005,m,0,49,2.2,1.69019608,0.505149978,3.891820298,0.78845736,-0.013185094,4.224959074,-1.641159767,-1.619350282,-0.387796882,-0.201018304,0
Nightmare Cay,2005,m,0,49,2.1,1.69019608,0.491361694,3.891820298,0.741937345,-0.026973379,4.03291548,-1.641159767,-1.689971751,-0.793334676,-0.644536998,0
Nightmare Cay,2005,m,0,50,2.3,1.698970004,0.51851394,3.912023005,0.832909123,-0.020909901,4.136805014,-1.491705276,-1.548728814,-0.614997088,-0.404607357,0
Nightmare Cay,2005,m,0,51,2.6,1.707570176,0.556302501,3.931825633,0.955511445,-0.003792481,4.385424171,-1.342250785,-1.336864407,-0.111543559,0.169570833,0
Nightmare Cay,2005,m,1,51.5,2.7,1.711807229,0.568201724,3.941581808,0.993251773,-0.002077324,4.412218613,-1.267523539,-1.266242938,-0.061097765,0.231451762,3.731343284
Nightmare Cay,2005,m,0,52,2.7,1.716003344,0.568201724,3.951243719,0.993251773,-0.012162992,4.276070202,-1.192796294,-1.266242938,-0.357735059,-0.082978747,0
Nightmare Cay,2005,m,0,53,2.8,1.72427587,0.579783597,3.970291914,1.029619417,-0.02046474,4.168722819,-1.043341802,-1.195621469,-0.601904118,-0.330894182,0
Nightmare Cay,2005,m,0,53,2.9,1.72427587,0.591064607,3.970291914,1.064710737,-0.00918373,4.317605777,-1.043341802,-1.125,-0.270109706,0.012946367,0
Nightmare Cay,2005,m,0,55,3.1,1.740362689,0.612783857,4.007333185,1.131402111,-0.026130327,4.092804858,-0.74443282,-0.983757062,-0.768539029,-0.506224345,0
Nightmare Cay,2005,m,0,55,3.5,1.740362689,0.653212514,4.007333185,1.252762968,0.01429833,4.620908711,-0.74443282,-0.701271186,0.420539129,0.713415037,0
Nightmare Cay,2005,m,0,55,3.4,1.740362689,0.643452676,4.007333185,1.223775432,0.004538493,4.488882748,-0.74443282,-0.771892655,0.133485091,0.408505192,0
Nightmare Cay,2005,m,0,55,3.2,1.740362689,0.62324929,4.007333185,1.16315081,-0.015664893,4.224830822,-0.74443282,-0.913135593,-0.460732147,-0.2013145,0
Nightmare Cay,2005,m,0,56,3.4,1.748188027,0.643452676,4.025351691,1.223775432,-0.014270277,4.234019625,-0.594978329,-0.771892655,-0.419714029,-0.180093245,0
Nightmare Cay,2005,m,0,57,3.7,1.755874856,0.672097858,4.043051268,1.30833282,-0.00410095,4.350504292,-0.445523838,-0.560028249,-0.120616176,0.088924463,0
Nightmare Cay,2005,m,1,57,3.8,1.755874856,0.681241237,4.043051268,1.335001067,0.005042429,4.46808549,-0.445523838,-0.48940678,0.148306744,0.360474572,3.731343284
Nightmare Cay,2005,m,1,58,4.1,1.763427994,0.707570176,4.060443011,1.410986974,0.013216849,4.556373893,-0.296069347,-0.277542373,0.388730862,0.564373888,3.731343284
Nightmare Cay,2005,m,0,58,3.3,1.763427994,0.633468456,4.060443011,1.193922468,-0.060884871,3.667325329,-0.296069347,-0.842514124,-1.7907315,-1.488856053,0
Nightmare Cay,2005,m,0,58,4.4,1.763427994,0.73239376,4.060443011,1.481604541,0.038040433,4.889767105,-0.296069347,-0.065677966,1.118836265,1.334335116,0
Nightmare Cay,2005,m,0,59,4.1,1.770852012,0.707570176,4.077537444,1.410986974,-0.00462732,4.310581296,-0.146614856,-0.277542373,-0.136097647,-0.003276452,0
Nightmare Cay,2005,m,0,59,5.1,1.770852012,0.785329835,4.077537444,1.62924054,0.073132338,5.361942588,-0.146614856,0.428672316,2.150951129,2.424809672,0
Nightmare Cay,2005,m,1,59,3.8,1.770852012,0.681241237,4.077537444,1.335001067,-0.030956259,3.995172909,-0.146614856,-0.48940678,-0.910478206,-0.731702289,3.731343284
Nightmare Cay,2005,m,0,59,3.45,1.770852012,0.648360011,4.077537444,1.238374231,-0.063837486,3.627196457,-0.146614856,-0.736581921,-1.877573118,-1.581532433,0
Nightmare Cay,2005,m,1,59,4,1.770852012,0.698970004,4.077537444,1.386294361,-0.013227492,4.205445167,-0.146614856,-0.348163842,-0.389043882,-0.246085064,3.731343284
Nightmare Cay,2005,m,0,60,5.1,1.77815125,0.785329835,4.094344562,1.62924054,0.055588085,5.077423972,0.002839635,0.428672316,1.634943674,1.767722798,0
Nightmare Cay,2005,m,0,60,4.5,1.77815125,0.740362689,4.094344562,1.504077397,0.010620939,4.480079975,0.002839635,0.004943503,0.312380568,0.388175462,0
Nightmare Cay,2005,m,0,60,4.8,1.77815125,0.763427994,4.094344562,1.568615918,0.033686243,4.778751973,0.002839635,0.21680791,0.990771865,1.07794913,0
Nightmare Cay,2005,m,0,60,4.4,1.77815125,0.73239376,4.094344562,1.481604541,0.00265201,4.380522642,0.002839635,-0.065677966,0.078000285,0.158250906,0
Nightmare Cay,2005,m,0,60,3.9,1.77815125,0.69019608,4.094344562,1.360976553,-0.03954567,3.882735978,0.002839635,-0.418785311,-1.163107941,-0.991371875,0
Nightmare Cay,2005,m,0,60,4.4,1.77815125,0.73239376,4.094344562,1.481604541,0.00265201,4.380522642,0.002839635,-0.065677966,0.078000285,0.158250906,0
Nightmare Cay,2005,m,0,60,3.9,1.77815125,0.69019608,4.094344562,1.360976553,-0.03954567,3.882735978,0.002839635,-0.418785311,-1.163107941,-0.991371875,0
Nightmare Cay,2005,m,1,60.5,5,1.781755375,0.77815125,4.102643365,1.609437912,0.039746724,4.84564371,0.077566881,0.358050847,1.169021303,1.23243351,3.731343284
Nightmare Cay,2005,m,0,61,4.1,1.785329835,0.707570176,4.110873864,1.410986974,-0.039425827,3.868742115,0.152294126,-0.277542373,-1.159583147,-1.023690267,0
Nightmare Cay,2005,m,0,61,5.3,1.785329835,0.799340549,4.110873864,1.667706821,0.052344547,5.00105688,0.152294126,0.569915254,1.539545491,1.591355381,0
Nightmare Cay,2005,m,0,61,5.1,1.785329835,0.785329835,4.110873864,1.62924054,0.038333832,4.812337752,0.152294126,0.428672316,1.127465656,1.155514439,0
Nightmare Cay,2005,m,1,61,4.7,1.785329835,0.755874856,4.110873864,1.547562509,0.008878853,4.434899497,0.152294126,0.146186441,0.261142732,0.283832557,3.731343284
Nightmare Cay,2005,m,1,61,4.5,1.785329835,0.740362689,4.110873864,1.504077397,-0.006633313,4.24618037,0.152294126,0.004943503,-0.195097441,-0.152008384,3.731343284
Nightmare Cay,2005,m,0,61,5.1,1.785329835,0.785329835,4.110873864,1.62924054,0.038333832,4.812337752,0.152294126,0.428672316,1.127465656,1.155514439,0
Nightmare Cay,2005,m,1,61,4.8,1.785329835,0.763427994,4.110873864,1.568615918,0.016431991,4.529259061,0.152294126,0.21680791,0.483293847,0.501753028,3.731343284
Nightmare Cay,2005,m,0,62,5.5,1.792391689,0.812913357,4.127134385,1.704748092,0.048943671,4.923114743,0.301748618,0.711158192,1.439519726,1.411350446,0
Nightmare Cay,2005,m,0,62,4.3,1.792391689,0.72427587,4.127134385,1.458615023,-0.039693816,3.848980617,0.301748618,-0.136299435,-1.167465176,-1.069328829,0
Nightmare Cay,2005,m,0,62,5.1,1.792391689,0.785329835,4.127134385,1.62924054,0.021360149,4.565070034,0.301748618,0.428672316,0.628239679,0.584457354,0
Nightmare Cay,2005,m,0,62,4.8,1.792391689,0.763427994,4.127134385,1.568615918,-0.000541692,4.296536503,0.301748618,0.21680791,-0.015932118,-0.035712464,0
Nightmare Cay,2005,m,0,62,5,1.792391689,0.77815125,4.127134385,1.609437912,0.014181565,4.475558857,0.301748618,0.358050847,0.417104838,0.377734081,0
Nightmare Cay,2005,m,0,62,4.2,1.792391689,0.716003344,4.127134385,1.435084525,-0.047966342,3.75946944,0.301748618,-0.206920904,-1.410774765,-1.276052101,0
Nightmare Cay,2005,m,0,62,5,1.792391689,0.77815125,4.127134385,1.609437912,0.014181565,4.475558857,0.301748618,0.358050847,0.417104838,0.377734081,0
Nightmare Cay,2005,m,0,62,5.4,1.792391689,0.806179974,4.127134385,1.686398954,0.042210288,4.833603566,0.301748618,0.640536723,1.241479062,1.204627173,0
Nightmare Cay,2005,m,0,63,5.3,1.799340549,0.799340549,4.143134726,1.667706821,0.018668771,4.50413124,0.451203109,0.569915254,0.5490815,0.443721109,0
Nightmare Cay,2005,m,0,63,4.4,1.799340549,0.73239376,4.143134726,1.481604541,-0.048278019,3.739278766,0.451203109,-0.065677966,-1.419941735,-1.322681835,0
Nightmare Cay,2005,m,0,63,5.1,1.799340549,0.785329835,4.143134726,1.62924054,0.004658057,4.334164024,0.451203109,0.428672316,0.137001665,0.051187122,0
Nightmare Cay,2005,m,0,63,4.9,1.799340549,0.770852012,4.143134726,1.589235205,-0.009819767,4.164196807,0.451203109,0.287429379,-0.288816676,-0.341346866,0
Nightmare Cay,2005,m,0,63,5.6,1.799340549,0.819543936,4.143134726,1.722766598,0.038872157,4.759082065,0.451203109,0.781779661,1.143298738,1.032522091,0
Nightmare Cay,2005,m,0,63,6,1.799340549,0.84509804,4.143134726,1.791759469,0.064426262,5.099016498,0.451203109,1.064265537,1.894890047,1.817590066,0
Nightmare Cay,2005,m,0,63,4.8,1.799340549,0.763427994,4.143134726,1.568615918,-0.017243785,4.079213199,0.451203109,0.21680791,-0.507170147,-0.53761386,0
Nightmare Cay,2005,m,0,64,5.8,1.806179974,0.832508913,4.158883083,1.757857918,0.035398078,4.683559773,0.6006576,0.923022599,1.041119932,0.858105711,0
Nightmare Cay,2005,m,0,64,4.3,1.806179974,0.72427587,4.158883083,1.458615023,-0.072834965,3.472294314,0.6006576,-0.136299435,-2.142204853,-1.939274101,0
Nightmare Cay,2005,m,1,64,5.3,1.806179974,0.799340549,4.158883083,1.667706821,0.002229715,4.27980462,0.6006576,0.569915254,0.065579838,-0.074354226,3.731343284
Nightmare Cay,2005,m,0,64,5,1.806179974,0.77815125,4.158883083,1.609437912,-0.018959585,4.037551528,0.6006576,0.358050847,-0.557634853,-0.633830189,0
Nightmare Cay,2005,m,1,64,4.5,1.806179974,0.740362689,4.158883083,1.504077397,-0.056748145,3.633796375,0.6006576,0.004943503,-1.669063088,-1.566290126,3.731343284
Nightmare Cay,2005,m,0,64,5.4,1.806179974,0.806179974,4.158883083,1.686398954,0.009069139,4.360555651,0.6006576,0.640536723,0.266739382,0.112137761,0
Nightmare Cay,2005,m,1,64,4.7,1.806179974,0.755874856,4.158883083,1.547562509,-0.041235979,3.795298437,0.6006576,0.146186441,-1.212822912,-1.193306151,3.731343284
Nightmare Cay,2005,m,0,65,5.1,1.812913357,0.785329835,4.17438727,1.62924054,-0.027965177,3.91629282,0.750112091,0.428672316,-0.822505206,-0.913873396,0
Nightmare Cay,2005,m,0,65,5.3,1.812913357,0.799340549,4.17438727,1.667706821,-0.013954463,4.06987293,0.750112091,0.569915254,-0.410425382,-0.559184919,0
Nightmare Cay,2005,m,0,65,4.8,1.812913357,0.763427994,4.17438727,1.568615918,-0.049867019,3.685922654,0.750112091,0.21680791,-1.466677029,-1.445906111,0
Nightmare Cay,2005,m,1,65,5,1.812913357,0.77815125,4.17438727,1.609437912,-0.035143762,3.839502764,0.750112091,0.358050847,-1.033640059,-1.091217634,3.731343284
Nightmare Cay,2005,m,0,65,6.2,1.812913357,0.857332496,4.17438727,1.824549292,0.044037484,4.760983428,0.750112091,1.205508475,1.295220126,1.036913228,0
Nightmare Cay,2005,m,0,65,5.9,1.812913357,0.838849091,4.17438727,1.774952351,0.025554079,4.530613262,0.750112091,0.993644068,0.751590547,0.504880513,0
Nightmare Cay,2005,m,1,65,5.9,1.812913357,0.838849091,4.17438727,1.774952351,0.025554079,4.530613262,0.750112091,0.993644068,0.751590547,0.504880513,3.731343284
Nightmare Cay,2005,m,0,66,6,1.819543936,0.84509804,4.189654742,1.791759469,0.015865947,4.384768132,0.899566582,1.064265537,0.466645503,0.168055733,0
Nightmare Cay,2005,m,1,66,6.8,1.819543936,0.892094603,4.189654742,1.916922612,0.06286251,4.969403883,0.899566582,1.629237288,1.848897347,1.518253772,3.731343284
Nightmare Cay,2005,m,0,66,7.1,1.819543936,0.908485019,4.189654742,1.960094784,0.079252926,5.18864229,0.899566582,1.841101695,2.330968412,2.024578037,0
Nightmare Cay,2005,m,1,66,5.3,1.819543936,0.799340549,4.189654742,1.667706821,-0.029891543,3.87321185,0.899566582,0.569915254,-0.879163029,-1.013367551,3.731343284
Nightmare Cay,2005,m,0,66,5.9,1.819543936,0.838849091,4.189654742,1.774952351,0.009616998,4.311688664,0.899566582,0.993644068,0.282852879,-0.000719022,0
Nightmare Cay,2005,m,1,66,5.4,1.819543936,0.806179974,4.189654742,1.686398954,-0.023052119,3.946291319,0.899566582,0.640536723,-0.6780035,-0.844592796,3.731343284
Nightmare Cay,2005,m,1,66,5.7,1.819543936,0.826074803,4.189654742,1.740466175,-0.00315729,4.165529726,0.899566582,0.85240113,-0.092861471,-0.338268532,3.731343284
Nightmare Cay,2005,m,0,67,6.9,1.826074803,0.897627091,4.204692619,1.931521412,0.052697582,4.802400107,1.049021073,1.699858757,1.549928885,1.132563757,0
Nightmare Cay,2005,m,1,67,5.7,1.826074803,0.826074803,4.204692619,1.740466175,-0.018854706,3.967200088,1.049021073,0.85240113,-0.554550176,-0.796304646,3.731343284
Nightmare Cay,2005,m,0,67,6.3,1.826074803,0.86332286,4.204692619,1.840549633,0.018393351,4.384800097,1.049021073,1.276129944,0.540980909,0.168129555,0
Nightmare Cay,2005,m,1,67,5.3,1.826074803,0.799340549,4.204692619,1.667706821,-0.04558896,3.688800082,1.049021073,0.569915254,-1.340851765,-1.439260781,3.731343284
Nightmare Cay,2005,m,1,67,6.4,1.826074803,0.86923172,4.204692619,1.85629799,0.024302211,4.454400099,1.049021073,1.346751412,0.714770897,0.328868589,3.731343284
Nightmare Cay,2005,m,1,68,6,1.832508913,0.84509804,4.219507705,1.791759469,-0.015296323,3.980047423,1.198475564,1.064265537,-0.449891853,-0.766634127,3.731343284
Nightmare Cay,2005,m,1,68,5.7,1.832508913,0.826074803,4.219507705,1.740466175,-0.03431956,3.781045052,1.198475564,0.85240113,-1.009398824,-1.226223899,3.731343284
Nightmare Cay,2005,m,0,68,7.2,1.832508913,0.913813852,4.219507705,1.974081026,0.05341949,4.776056907,1.198475564,1.911723164,1.571161462,1.071724959,0
Nightmare Cay,2005,m,0,69,6.4,1.838849091,0.86923172,4.234106505,1.85629799,-0.006401724,4.04901544,1.347930055,1.346751412,-0.188286,-0.607354642,0
Nightmare Cay,2005,m,0,69,6.4,1.838849091,0.86923172,4.234106505,1.85629799,-0.006401724,4.04901544,1.347930055,1.346751412,-0.188286,-0.607354642,0
Nightmare Cay,2005,m,0,70,6.4,1.84509804,0.86923172,4.248495242,1.85629799,-0.02142153,3.864362343,1.497384546,1.346751412,-0.630045,-1.033805212,0
Nightmare Cay,2005,m,0,73,6.2,1.86332286,0.857332496,4.290459441,1.824549292,-0.07712544,3.267143729,1.94574802,1.205508475,-2.268395294,-2.413062981,0
Nightmare Cay,2006,m,1,43,2.2,1.633468456,0.505149978,3.761200116,0.78845736,0.04949952,5.721016306,-3.38727783,-2.354014599,1.309511103,1.99805209,3.03030303
Nightmare Cay,2006,m,0,48,2.8,1.681241237,0.579783597,3.871201011,1.029619417,0.010156816,5.069212982,-2.217960711,-1.806569343,0.268698838,0.70735244,0
Nightmare Cay,2006,m,0,48,2.5,1.681241237,0.544068044,3.871201011,0.916290732,-0.025558736,4.52608302,-2.217960711,-2.080291971,-0.676157042,-0.368152436,0
Nightmare Cay,2006,m,0,48,2.3,1.681241237,0.51851394,3.871201011,0.832909123,-0.051112841,4.163996378,-2.217960711,-2.262773723,-1.352191552,-1.085155687,0
Nightmare Cay,2006,m,0,48,2.2,1.681241237,0.505149978,3.871201011,0.78845736,-0.064476802,3.982953057,-2.217960711,-2.354014599,-1.705735509,-1.443657312,0
Nightmare Cay,2006,m,0,49,3.2,1.69019608,0.62324929,3.891820298,1.16315081,0.032258043,5.413188411,-1.984097287,-1.441605839,0.853387372,1.388491903,0
Nightmare Cay,2006,m,0,49,3,1.69019608,0.602059991,3.891820298,1.098612289,0.011068744,5.074864135,-1.984097287,-1.624087591,0.292823905,0.718542842,0
Nightmare Cay,2006,m,1,50,2.9,1.698970004,0.591064607,3.912023005,1.064710737,-0.020859473,4.59004987,-1.750233863,-1.715328467,-0.551837906,-0.241485405,3.03030303
Nightmare Cay,2006,m,1,50,3.1,1.698970004,0.612783857,3.912023005,1.131402111,0.000859777,4.906605034,-1.750233863,-1.532846715,0.02274542,0.385356503,3.03030303
Nightmare Cay,2006,m,1,51,2.8,1.707570176,0.579783597,3.931825633,1.029619417,-0.052658776,4.152079612,-1.51637044,-1.806569343,-1.393089325,-1.108753243,3.03030303
Nightmare Cay,2006,m,0,51,3.1,1.707570176,0.612783857,3.931825633,1.131402111,-0.019658516,4.596945285,-1.51637044,-1.532846715,-0.520066571,-0.227831118,0
Nightmare Cay,2006,m,1,52,3.6,1.716003344,0.662757832,3.951243719,1.280933845,0.010195604,5.007813586,-1.282507016,-1.076642336,0.269724976,0.585769477,3.03030303
Nightmare Cay,2006,m,0,53,4,1.72427587,0.698970004,3.970291914,1.386294361,0.026671181,5.226037107,-1.048643592,-0.711678832,0.705586799,1.017895262,0
Nightmare Cay,2006,m,0,53,3.5,1.72427587,0.653212514,3.970291914,1.252762968,-0.01908631,4.572782469,-1.048643592,-1.167883212,-0.504928825,-0.275678279,0
Nightmare Cay,2006,m,0,53.5,3.9,1.728353782,0.69019608,3.979681654,1.360976553,0.008168172,4.940291978,-0.93171188,-0.802919708,0.216089196,0.452063324,0
Nightmare Cay,2006,m,1,54,4.4,1.73239376,0.73239376,3.988984047,1.481604541,0.040727271,5.405564822,-0.814780168,-0.346715328,1.077441025,1.373395687,3.03030303
Nightmare Cay,2006,m,1,54,4,1.73239376,0.698970004,3.988984047,1.386294361,0.007303515,4.914149838,-0.814780168,-0.711678832,0.193214689,0.400296709,3.03030303
Nightmare Cay,2006,m,1,55,4,1.740362689,0.698970004,4.007333185,1.386294361,-0.01170876,4.626096395,-0.580916745,-0.711678832,-0.309755565,-0.170106149,3.03030303
Nightmare Cay,2006,m,0,55,4.5,1.740362689,0.740362689,4.007333185,1.504077397,0.029683925,5.204358444,-0.580916745,-0.255474453,0.785289016,0.974967217,0
Nightmare Cay,2006,m,0,55,3.5,1.740362689,0.653212514,4.007333185,1.252762968,-0.057466251,4.047834346,-0.580916745,-1.167883212,-1.520271188,-1.315179514,0
Nightmare Cay,2006,m,0,56,5,1.748188027,0.77815125,4.025351691,1.609437912,0.048802792,5.449588125,-0.347053321,0.200729927,1.291079162,1.460570545,0
Nightmare Cay,2006,m,1,56,4.3,1.748188027,0.72427587,4.025351691,1.458615023,-0.005072588,4.686645788,-0.347053321,-0.437956204,-0.134195462,-0.050206361,3.03030303
Nightmare Cay,2006,m,1,56,4,1.748188027,0.698970004,4.025351691,1.386294361,-0.030378454,4.3596705,-0.347053321,-0.711678832,-0.803662797,-0.697682178,3.03030303
Nightmare Cay,2006,m,0,56,4.1,1.748188027,0.707570176,4.025351691,1.410986974,-0.021778282,4.468662263,-0.347053321,-0.620437956,-0.576145025,-0.481856906,0
Nightmare Cay,2006,m,1,56,4.5,1.748188027,0.740362689,4.025351691,1.504077397,0.011014231,4.904629313,-0.347053321,-0.255474453,0.291381784,0.381444183,3.03030303
Nightmare Cay,2006,m,1,56,4.3,1.748188027,0.72427587,4.025351691,1.458615023,-0.005072588,4.686645788,-0.347053321,-0.437956204,-0.134195462,-0.050206361,3.03030303
Nightmare Cay,2006,m,0,56,4.2,1.748188027,0.716003344,4.025351691,1.435084525,-0.013345114,4.577654025,-0.347053321,-0.52919708,-0.353045355,-0.266031633,0
Nightmare Cay,2006,m,0,56,4.3,1.748188027,0.72427587,4.025351691,1.458615023,-0.005072588,4.686645788,-0.347053321,-0.437956204,-0.134195462,-0.050206361,0
Nightmare Cay,2006,m,1,56,4.7,1.748188027,0.755874856,4.025351691,1.547562509,0.026526398,5.122612838,-0.347053321,-0.072992701,0.701756551,0.813094728,3.03030303
Nightmare Cay,2006,m,0,56,4.2,1.748188027,0.716003344,4.025351691,1.435084525,-0.013345114,4.577654025,-0.347053321,-0.52919708,-0.353045355,-0.266031633,0
Nightmare Cay,2006,m,0,56.5,4.5,1.752048448,0.740362689,4.034240638,1.504077397,0.001804038,4.763187571,-0.230121609,-0.255474453,0.047725871,0.101361527,0
Nightmare Cay,2006,m,0,57,5.4,1.755874856,0.806179974,4.043051268,1.686398954,0.058492277,5.552421094,-0.113189897,0.565693431,1.547414736,1.664200186,0
Nightmare Cay,2006,m,1,57,4.4,1.755874856,0.73239376,4.043051268,1.481604541,-0.015293937,4.524194965,-0.113189897,-0.346715328,-0.404601512,-0.371891158,3.03030303
Nightmare Cay,2006,m,0,57,5.4,1.755874856,0.806179974,4.043051268,1.686398954,0.058492277,5.552421094,-0.113189897,0.565693431,1.547414736,1.664200186,0
Nightmare Cay,2006,m,0,57,4.5,1.755874856,0.740362689,4.043051268,1.504077397,-0.007325007,4.627017578,-0.113189897,-0.255474453,-0.193783266,-0.168282023,0
Nightmare Cay,2006,m,0,57.5,5,1.759667845,0.77815125,4.051784948,1.609437912,0.021414239,4.995421286,0.003741815,0.200729927,0.566514251,0.56123027,0
Nightmare Cay,2006,m,0,57.5,4.9,1.759667845,0.770852012,4.051784948,1.589235205,0.014115,4.895512861,0.003741815,0.109489051,0.373412697,0.363391803,0
Nightmare Cay,2006,m,0,57.5,5.4,1.759667845,0.806179974,4.051784948,1.686398954,0.049442962,5.395054989,0.003741815,0.565693431,1.308014876,1.352584137,0
Nightmare Cay,2006,m,0,57.5,4.5,1.759667845,0.740362689,4.051784948,1.504077397,-0.016374322,4.495879158,0.003741815,-0.255474453,-0.433183127,-0.427962064,0
Nightmare Cay,2006,m,0,58,5.3,1.763427994,0.799340549,4.060443011,1.667706821,0.033632573,5.146353037,0.120673527,0.474452555,0.889750611,0.860105025,0
Nightmare Cay,2006,m,0,58,4.6,1.763427994,0.748188027,4.060443011,1.526056303,-0.017519949,4.466646033,0.120673527,-0.164233577,-0.463490724,-0.485849441,0
Nightmare Cay,2006,m,1,58,5.3,1.763427994,0.799340549,4.060443011,1.667706821,0.033632573,5.146353037,0.120673527,0.474452555,0.889750611,0.860105025,3.03030303
Nightmare Cay,2006,m,0,58,5.3,1.763427994,0.799340549,4.060443011,1.667706821,0.033632573,5.146353037,0.120673527,0.474452555,0.889750611,0.860105025,0
Nightmare Cay,2006,m,0,58,5.4,1.763427994,0.806179974,4.060443011,1.686398954,0.040471998,5.243454038,0.120673527,0.565693431,1.070687768,1.052384234,0
Nightmare Cay,2006,m,0,58,4.7,1.763427994,0.755874856,4.060443011,1.547562509,-0.009833121,4.563747033,0.120673527,-0.072992701,-0.260135468,-0.293570231,0
Nightmare Cay,2006,m,1,58,5.5,1.763427994,0.812913357,4.060443011,1.704748092,0.04720538,5.340555039,0.120673527,0.656934307,1.248819584,1.244663443,3.03030303
Nightmare Cay,2006,m,0,58.5,5,1.767155866,0.77815125,4.069026754,1.609437912,0.003549314,4.719777806,0.237605239,0.200729927,0.093897203,0.015401595,0
Nightmare Cay,2006,m,0,58.5,4.9,1.767155866,0.770852012,4.069026754,1.589235205,-0.003749924,4.625382249,0.237605239,0.109489051,-0.099204351,-0.171520298,0
Nightmare Cay,2006,m,0,59,4.7,1.770852012,0.755874856,4.077537444,1.547562509,-0.027545346,4.31401545,0.35453695,-0.072992701,-0.728712857,-0.788088218,0
Nightmare Cay,2006,m,1,59,4,1.770852012,0.698970004,4.077537444,1.386294361,-0.084450197,3.671502511,0.35453695,-0.711678832,-2.234132205,-2.060391068,3.03030303
Nightmare Cay,2006,m,1,59,5.1,1.770852012,0.785329835,4.077537444,1.62924054,0.001909633,4.681165701,0.35453695,0.291970803,0.0505194,-0.061058018,3.03030303
Nightmare Cay,2006,m,0,59,4.8,1.770852012,0.763427994,4.077537444,1.568615918,-0.019992208,4.405803013,0.35453695,0.018248175,-0.528894394,-0.606330668,0
Nightmare Cay,2006,m,0,59,4.9,1.770852012,0.770852012,4.077537444,1.589235205,-0.01256819,4.497590575,0.35453695,0.109489051,-0.3324918,-0.424573118,0
Nightmare Cay,2006,m,0,59,6.5,1.770852012,0.875061263,4.077537444,1.871802177,0.091641062,5.96619158,0.35453695,1.569343066,2.424366712,2.483547682,0
Nightmare Cay,2006,m,0,59,5.3,1.770852012,0.799340549,4.077537444,1.667706821,0.015920348,4.864740826,0.35453695,0.474452555,0.421173222,0.302457082,0
Nightmare Cay,2006,m,0,59,6.3,1.770852012,0.86332286,4.077537444,1.840549633,0.079902658,5.782616454,0.35453695,1.386861314,2.113826943,2.120032582,0
Nightmare Cay,2006,m,0,59,4.8,1.770852012,0.763427994,4.077537444,1.568615918,-0.019992208,4.405803013,0.35453695,0.018248175,-0.528894394,-0.606330668,0
Nightmare Cay,2006,m,0,59,4.8,1.770852012,0.763427994,4.077537444,1.568615918,-0.019992208,4.405803013,0.35453695,0.018248175,-0.528894394,-0.606330668,0
Nightmare Cay,2006,m,0,59,4,1.770852012,0.698970004,4.077537444,1.386294361,-0.084450197,3.671502511,0.35453695,-0.711678832,-2.234132205,-2.060391068,0
Nightmare Cay,2006,m,1,59.5,4.9,1.774516966,0.770852012,4.085976313,1.589235205,-0.021312039,4.374363704,0.471468662,0.109489051,-0.563810554,-0.668586725,3.03030303
