Site,Year,Sex,Survival,SVL (mm),Mass (g),Log10 SVL,Log10 Mass,Ln SVL,Ln Mass,Ri Condition,Mi Condition,Std SVL,Std Mass,Std Ri Condition,Std Mi Condition,Relative W
Flamingo Bay Cay,2005,m,0,64,4.6,1.806179974,0.748188027,4.158883083,1.526056303,-0.056758558,3.569573046,0.619235837,0.083955224,-1.635693327,-1.527756904,0
Flamingo Bay Cay,2005,m,0,64,5.5,1.806179974,0.812913357,4.158883083,1.704748092,0.007966771,4.267967773,0.619235837,0.643656716,0.229589948,0.064207369,0
Flamingo Bay Cay,2005,m,1,64,6.44,1.806179974,0.871572936,4.158883083,1.86252854,0.06662635,4.997402265,0.619235837,1.228233831,1.920067726,1.72692561,2.272727273
Flamingo Bay Cay,2005,m,1,65,4.75,1.812913357,0.759667845,4.17438727,1.558144618,-0.061652581,3.500769803,0.750988142,0.177238806,-1.776731449,-1.684591285,2.272727273
Flamingo Bay Cay,2005,m,1,65,5.7,1.812913357,0.826074803,4.17438727,1.740466175,0.004754377,4.200923764,0.750988142,0.768034826,0.137013738,-0.088616905,2.272727273
Flamingo Bay Cay,2005,m,1,65,5.94,1.812913357,0.84135947,4.17438727,1.781709133,0.020039044,4.377804765,0.750988142,0.917288557,0.577494077,0.314576623,2.272727273
Flamingo Bay Cay,2005,m,1,65,6.5,1.812913357,0.875061263,4.17438727,1.871802177,0.053740837,4.790527099,0.750988142,1.265547264,1.548727303,1.255361521,2.272727273
Flamingo Bay Cay,2005,m,0,66,5.5,1.819543936,0.812913357,4.189654742,1.704748092,-0.024530918,3.852884226,0.882740448,0.643656716,-0.706942876,-0.881959822,0
Flamingo Bay Cay,2005,m,1,66,5.97,1.819543936,0.843232778,4.189654742,1.786746927,0.005788504,4.182130696,0.882740448,0.935945274,0.166815668,-0.131454989,2.272727273
Flamingo Bay Cay,2005,m,0,67,5.92,1.826074803,0.840106094,4.204692619,1.778336449,-0.013219555,3.944844087,1.014492754,0.904850746,-0.380967013,-0.672340809,0
Flamingo Bay Cay,2005,m,1,67,6.14,1.826074803,0.853698212,4.204692619,1.814824742,0.000372562,4.091443023,1.014492754,1.041666667,0.010736657,-0.338174099,2.272727273
Flamingo Bay Cay,2005,m,0,68,5.33,1.832508913,0.80140371,4.219507705,1.673351238,-0.067568027,3.380974768,1.146245059,0.537935323,-1.947205384,-1.95765952,0
Flamingo Bay Cay,2005,m,0,68,6.24,1.832508913,0.859738566,4.219507705,1.830980182,-0.009233171,3.958214363,1.146245059,1.103855721,-0.266085609,-0.641863773,0
Flamingo Bay Cay,2005,m,0,68,6.45,1.832508913,0.872156273,4.219507705,1.864080131,0.003184536,4.0914235,1.146245059,1.234452736,0.091773369,-0.3382186,0
Flamingo Bay Cay,2005,m,0,68,7.7,1.832508913,0.939519253,4.219507705,2.041220329,0.070547516,4.884335031,1.146245059,2.01181592,2.033069619,1.469193142,0
Flamingo Bay Cay,2005,m,1,70,7,1.84509804,0.903089987,4.248495242,1.945910149,0.003504757,4.032309996,1.409749671,1.576492537,0.101001646,-0.47296559,2.272727273
Flamingo Bay Cay,2006,m,1,48.5,2.9,1.685741739,0.591064607,3.881563798,1.064710737,0.028934929,5.149305573,-2.560948081,-1.989411765,0.7820251,1.52247723,4.651162791
Flamingo Bay Cay,2006,m,1,48.5,2.7,1.685741739,0.568201724,3.881563798,0.993251773,0.006072046,4.794181051,-2.560948081,-2.224705882,0.195872442,0.664688529,4.651162791
Flamingo Bay Cay,2006,m,0,49.5,2.8,1.694605199,0.579783597,3.90197267,1.029619417,-0.003721174,4.64347056,-2.278781038,-2.107058824,-0.120037871,0.300653528,0
Flamingo Bay Cay,2006,m,0,51,3.1,1.707570176,0.612783857,3.931825633,1.131402111,-0.00198721,4.652137907,-1.855530474,-1.754117647,-0.064103548,0.321589148,0
Flamingo Bay Cay,2006,m,0,51.5,3.3,1.711807229,0.633468456,3.941581808,1.193922468,0.008479326,4.793176377,-1.714446953,-1.518823529,0.273526629,0.66226178,0
Flamingo Bay Cay,2006,m,1,52,2.5,1.716003344,0.544068044,3.951243719,0.916290732,-0.091040422,3.515645556,-1.573363431,-2.46,-2.936787806,-2.423561458,4.651162791
Flamingo Bay Cay,2006,m,1,52,3.3,1.716003344,0.633468456,3.951243719,1.193922468,-0.001640011,4.640652134,-1.573363431,-1.518823529,-0.052903581,0.293845735,4.651162791
Flamingo Bay Cay,2006,m,0,53,3.8,1.72427587,0.681241237,3.970291914,1.335001067,0.026182774,5.013725203,-1.291196388,-0.930588235,0.844605626,1.194988412,0
Flamingo Bay Cay,2006,m,1,53,3.9,1.72427587,0.69019608,3.970291914,1.360976553,0.035137617,5.14566534,-1.291196388,-0.812941176,1.133471519,1.513684395,4.651162791
Flamingo Bay Cay,2006,m,0,54,3.3,1.73239376,0.633468456,3.988984047,1.193922468,-0.041167085,4.089971594,-1.009029345,-1.518823529,-1.327970484,-1.036300498,0
Flamingo Bay Cay,2006,m,0,54,4,1.73239376,0.698970004,3.988984047,1.386294361,0.024334464,4.957541326,-1.009029345,-0.695294118,0.784982703,1.059278565,0
Flamingo Bay Cay,2006,m,0,55,3.3,1.740362689,0.633468456,4.007333185,1.193922468,-0.06038493,3.846345427,-0.726862302,-1.518823529,-1.947900968,-1.624769501,0
Flamingo Bay Cay,2006,m,0,55,4.1,1.740362689,0.707570176,4.007333185,1.410986974,0.013716791,4.778792803,-0.726862302,-0.577647059,0.442477123,0.627518847,0
Flamingo Bay Cay,2006,m,1,55,3.5,1.740362689,0.653212514,4.007333185,1.252762968,-0.040640872,4.079457271,-0.726862302,-1.283529412,-1.310995871,-1.061697414,4.651162791
Flamingo Bay Cay,2006,m,0,55,3.9,1.740362689,0.69019608,4.007333185,1.360976553,-0.003657305,4.545680959,-0.726862302,-0.812941176,-0.117977581,0.06444676,0
Flamingo Bay Cay,2006,m,0,55,4.4,1.740362689,0.73239376,4.007333185,1.481604541,0.038540375,5.128460569,-0.726862302,-0.224705882,1.243237887,1.472126978,0
Flamingo Bay Cay,2006,m,1,55,4.5,1.740362689,0.740362689,4.007333185,1.504077397,0.046509304,5.245016491,-0.726862302,-0.107058824,1.500300135,1.753663021,4.651162791
Flamingo Bay Cay,2006,m,0,55,4,1.740362689,0.698970004,4.007333185,1.386294361,0.005116619,4.662236881,-0.726862302,-0.695294118,0.165052226,0.345982804,0
Flamingo Bay Cay,2006,m,0,55,3.6,1.740362689,0.662757832,4.007333185,1.280933845,-0.031095554,4.196013193,-0.726862302,-1.165882353,-1.003082387,-0.78016137,0
Flamingo Bay Cay,2006,m,0,55.5,3.4,1.744292983,0.643452676,4.016383021,1.223775432,-0.059878992,3.84466557,-0.585778781,-1.401176471,-1.931580387,-1.628827125,0
Flamingo Bay Cay,2006,m,0,56,4.4,1.748188027,0.73239376,4.025351691,1.481604541,0.019668816,4.828315225,-0.44469526,-0.224705882,0.634477939,0.747138225,0
Flamingo Bay Cay,2006,m,0,56,4.6,1.748188027,0.748188027,4.025351691,1.526056303,0.035463083,5.047784099,-0.44469526,0.010588235,1.143970429,1.277256278,0
Flamingo Bay Cay,2006,m,0,56,3.9,1.748188027,0.69019608,4.025351691,1.360976553,-0.022528864,4.279643041,-0.44469526,-0.812941176,-0.726737548,-0.578156907,0
Flamingo Bay Cay,2006,m,0,56,4,1.748188027,0.698970004,4.025351691,1.386294361,-0.013754939,4.389377478,-0.44469526,-0.695294118,-0.44370771,-0.31309788,0
Flamingo Bay Cay,2006,m,1,56,3.7,1.748188027,0.672097858,4.025351691,1.30833282,-0.040627086,4.060174167,-0.44469526,-1.048235294,-1.310551161,-1.10827496,4.651162791
Flamingo Bay Cay,2006,m,0,56,4.1,1.748188027,0.707570176,4.025351691,1.410986974,-0.005154768,4.499111914,-0.44469526,-0.577647059,-0.166282839,-0.048038854,0
Flamingo Bay Cay,2006,m,0,56.5,4.1,1.752048448,0.707570176,4.034240638,1.410986974,-0.014464546,4.367229027,-0.303611738,-0.577647059,-0.466598258,-0.366596554,0
Flamingo Bay Cay,2006,m,0,57,4.6,1.755874856,0.748188027,4.043051268,1.526056303,0.016925552,4.757436012,-0.162528217,0.010588235,0.545985558,0.575932396,0
Flamingo Bay Cay,2006,m,0,57,4.1,1.755874856,0.707570176,4.043051268,1.410986974,-0.023692299,4.240323402,-0.162528217,-0.577647059,-0.76426771,-0.673131879,0
Flamingo Bay Cay,2006,m,0,57,4.6,1.755874856,0.748188027,4.043051268,1.526056303,0.016925552,4.757436012,-0.162528217,0.010588235,0.545985558,0.575932396,0
Flamingo Bay Cay,2006,m,0,57,4.7,1.755874856,0.755874856,4.043051268,1.547562509,0.024612381,4.860858534,-0.162528217,0.128235294,0.793947774,0.825745251,0
Flamingo Bay Cay,2006,m,1,57,4.6,1.755874856,0.748188027,4.043051268,1.526056303,0.016925552,4.757436012,-0.162528217,0.010588235,0.545985558,0.575932396,4.651162791
Flamingo Bay Cay,2006,m,0,57,4.9,1.755874856,0.770852012,4.043051268,1.589235205,0.039589537,5.067703578,-0.162528217,0.363529412,1.277081839,1.325370962,0
Flamingo Bay Cay,2006,m,1,57.5,3.9,1.759667845,0.69019608,4.051784948,1.360976553,-0.050213555,3.917279834,-0.021444695,-0.812941176,-1.619792097,-1.453430353,4.651162791
Flamingo Bay Cay,2006,m,0,58,5,1.763427994,0.77815125,4.060443011,1.609437912,0.028673653,4.878707442,0.119638826,0.481176471,0.924956548,0.868858555,0
Flamingo Bay Cay,2006,m,0,58,4.8,1.763427994,0.763427994,4.060443011,1.568615918,0.013950396,4.683559144,0.119638826,0.245882353,0.450012781,0.397485855,0
Flamingo Bay Cay,2006,m,0,58,4.5,1.763427994,0.740362689,4.060443011,1.504077397,-0.009114908,4.390836698,0.119638826,-0.107058824,-0.29402929,-0.309573194,0
Flamingo Bay Cay,2006,m,0,58,5.8,1.763427994,0.832508913,4.060443011,1.757857918,0.083031315,5.659300632,0.119638826,1.422352941,2.678429529,2.754349354,0
Flamingo Bay Cay,2006,m,0,58,5.7,1.763427994,0.826074803,4.060443011,1.740466175,0.076597205,5.561726484,0.119638826,1.304705882,2.47087759,2.518663004,0
Flamingo Bay Cay,2006,m,0,58.5,4.9,1.767155866,0.770852012,4.069026754,1.589235205,0.012384289,4.645726751,0.260722348,0.363529412,0.399493197,0.306103264,0
Flamingo Bay Cay,2006,m,0,59,4.3,1.770852012,0.72427587,4.077537444,1.458615023,-0.043105466,3.962370107,0.401805869,-0.342352941,-1.390498903,-1.34451665,0
Flamingo Bay Cay,2006,m,0,59,4.6,1.770852012,0.748188027,4.077537444,1.526056303,-0.019193308,4.238814533,0.401805869,0.010588235,-0.619138968,-0.67677649,0
Flamingo Bay Cay,2006,m,0,59,4.6,1.770852012,0.748188027,4.077537444,1.526056303,-0.019193308,4.238814533,0.401805869,0.010588235,-0.619138968,-0.67677649,0
Flamingo Bay Cay,2006,m,0,59,4.7,1.770852012,0.755874856,4.077537444,1.547562509,-0.011506479,4.330962675,0.401805869,0.128235294,-0.371176742,-0.454196437,0
Flamingo Bay Cay,2006,m,0,59,4.8,1.770852012,0.763427994,4.077537444,1.568615918,-0.003953342,4.423110817,0.401805869,0.245882353,-0.127527161,-0.231616384,0
Flamingo Bay Cay,2006,m,0,59,5.7,1.770852012,0.826074803,4.077537444,1.740466175,0.058693468,5.252444095,0.401805869,1.304705882,1.893337665,1.771604095,0
Flamingo Bay Cay,2006,m,0,59,4.9,1.770852012,0.770852012,4.077537444,1.589235205,0.003470677,4.515258959,0.401805869,0.363529412,0.111957306,-0.009036331,0
Flamingo Bay Cay,2006,m,1,59,5.1,1.770852012,0.785329835,4.077537444,1.62924054,0.0179485,4.699555243,0.401805869,0.598823529,0.578983868,0.436123776,4.651162791
Flamingo Bay Cay,2006,m,0,59.5,4.9,1.774516966,0.770852012,4.085976313,1.589235205,-0.005367715,4.389510191,0.542889391,0.363529412,-0.173152097,-0.312777315,0
Flamingo Bay Cay,2006,m,1,59.5,5,1.774516966,0.77815125,4.085976313,1.609437912,0.001931524,4.479092032,0.542889391,0.481176471,0.062307223,-0.096396058,4.651162791
Flamingo Bay Cay,2006,m,1,59.5,4.2,1.774516966,0.716003344,4.085976313,1.435084525,-0.060216383,3.762437307,0.542889391,-0.46,-1.942463968,-1.827446119,4.651162791
Flamingo Bay Cay,2006,m,1,59.5,4.8,1.774516966,0.763427994,4.085976313,1.568615918,-0.012791733,4.299928351,0.542889391,0.245882353,-0.412636548,-0.529158573,4.651162791
Flamingo Bay Cay,2006,m,0,60,5.2,1.77815125,0.792391689,4.094344562,1.648658626,0.007407534,4.52959502,0.683972912,0.716470588,0.23895271,0.025591836,0
Flamingo Bay Cay,2006,m,0,60,4.6,1.77815125,0.748188027,4.094344562,1.526056303,-0.036796128,4.006949441,0.683972912,0.010588235,-1.186971871,-1.236837099,0
Flamingo Bay Cay,2006,m,0,60,4.6,1.77815125,0.748188027,4.094344562,1.526056303,-0.036796128,4.006949441,0.683972912,0.010588235,-1.186971871,-1.236837099,0
Flamingo Bay Cay,2006,m,0,60,5.6,1.77815125,0.819543936,4.094344562,1.722766598,0.03455978,4.878025406,0.683972912,1.187058824,1.114831616,0.867211126,0
Flamingo Bay Cay,2006,m,0,60,4.8,1.77815125,0.763427994,4.094344562,1.568615918,-0.021556162,4.181164634,0.683972912,0.245882353,-0.695360065,-0.816027454,0
Flamingo Bay Cay,2006,m,0,60,5.1,1.77815125,0.785329835,4.094344562,1.62924054,0.00034568,4.442487424,0.683972912,0.598823529,0.011150952,-0.184812986,0
Flamingo Bay Cay,2006,m,0,60,5.4,1.77815125,0.806179974,4.094344562,1.686398954,0.021195819,4.703810213,0.683972912,0.951764706,0.683736081,0.446401481,0
Flamingo Bay Cay,2006,m,1,60,5.4,1.77815125,0.806179974,4.094344562,1.686398954,0.021195819,4.703810213,0.683972912,0.951764706,0.683736081,0.446401481,4.651162791
Flamingo Bay Cay,2006,m,0,60.5,5.4,1.781755375,0.806179974,4.102643365,1.686398954,0.012504124,4.574954581,0.825056433,0.951764706,0.403358845,0.135155992,0
Flamingo Bay Cay,2006,m,0,60.5,5.3,1.781755375,0.799340549,4.102643365,1.667706821,0.0056647,4.490233199,0.825056433,0.834117647,0.182732248,-0.069485025,0
Flamingo Bay Cay,2006,m,0,61,5.8,1.785329835,0.832508913,4.110873864,1.757857918,0.030212906,4.780323654,0.966139955,1.422352941,0.974609871,0.631216556,0
Flamingo Bay Cay,2006,m,0,61,5.6,1.785329835,0.819543936,4.110873864,1.722766598,0.017247929,4.615484908,0.966139955,1.187058824,0.5563848,0.233055332,0
Flamingo Bay Cay,2006,m,0,61,6,1.785329835,0.84509804,4.110873864,1.791759469,0.042802033,4.945162401,0.966139955,1.657647059,1.380710752,1.02937778,0
Flamingo Bay Cay,2006,m,0,61,5.4,1.785329835,0.806179974,4.110873864,1.686398954,0.003883967,4.450646161,0.966139955,0.951764706,0.125289268,-0.165105892,0
Flamingo Bay Cay,2006,m,0,61,4.8,1.785329835,0.763427994,4.110873864,1.568615918,-0.038868013,3.956129921,0.966139955,0.245882353,-1.253806871,-1.359589563,0
Flamingo Bay Cay,2006,m,1,61,5.1,1.785329835,0.785329835,4.110873864,1.62924054,-0.016966172,4.203388041,0.966139955,0.598823529,-0.547295871,-0.762347727,4.651162791
Flamingo Bay Cay,2006,m,0,61.5,5.3,1.788875116,0.799340549,4.119037175,1.667706821,-0.011505245,4.250491216,1.107223476,0.834117647,-0.371136935,-0.648571941,0
Flamingo Bay Cay,2006,m,0,61.5,5.4,1.788875116,0.806179974,4.119037175,1.686398954,-0.00466582,4.330689164,1.107223476,0.951764706,-0.150510323,-0.454857092,0
Flamingo Bay Cay,2006,m,1,61.5,5.6,1.788875116,0.819543936,4.119037175,1.722766598,0.008698141,4.491085059,1.107223476,1.187058824,0.280585203,-0.067427394,4.651162791
Flamingo Bay Cay,2006,m,0,61.5,5.5,1.788875116,0.812913357,4.119037175,1.704748092,0.002067562,4.410887111,1.107223476,1.069411765,0.066695561,-0.261142243,0
