rowID,fishID,lake,SL_cm,meanScaleCirculiSpacing,ascendingProcess_cm,bodyDepth_cm,orbitDiameter_cm,headDepth_cm,jawLength_cm,speciesDiagnosticColoration
55,A107,Barombi Mbo,5.042,42.15875238,0.493710031,1.683837732,0.584931679,1.055573903,0.786079336,ambiguous
56,A114,Barombi Mbo,3.4,34.63442113,0.331195979,1.152735511,0.396489004,0.646631008,0.510755594,pindu
57,A118,Barombi Mbo,6.201,42.1335,0.580307532,2.314158727,0.701652004,1.410956631,0.986633435,mariae
58,A119,Barombi Mbo,4.058,40.53052476,0.421641668,1.332400005,0.478728035,0.874362666,0.641242547,mariae
59,A121,Barombi Mbo,4.852,49.60249921,0.48424102,1.658261325,0.523267175,1.019949215,0.748533773,pindu
60,A123,Barombi Mbo,7.532,44.71715,0.722473524,2.605998037,0.699703602,1.669750342,1.149817651,pindu
61,A127,Barombi Mbo,3.223,38.07417806,0.32546773,1.056642175,0.377380758,0.648118642,0.477473194,pindu
62,A128,Barombi Mbo,5.515,37.4750736,0.52632756,1.876285155,0.6274089,1.188527516,0.818253743,pindu
63,A129,Barombi Mbo,6.02,42.35154231,0.614247731,2.064334257,0.635349679,1.245999724,0.970499918,pindu
64,A130,Barombi Mbo,3.635,34.7262106,0.368219541,1.175383606,0.407388881,0.735515216,0.525875435,ambiguous
65,A131,Barombi Mbo,4.08,40.84394996,0.405927622,1.331487191,0.456789864,0.852552612,0.608059552,pindu
66,A132,Barombi Mbo,6.218,48.86187227,0.574091795,2.120301854,0.650730012,1.397159307,0.972089506,pindu
67,A134,Barombi Mbo,4.554,44.80849585,0.474047605,1.536230197,0.540446564,0.996072462,0.750422925,pindu
68,A136,Barombi Mbo,6.018,38.83598943,0.603153848,1.923560789,0.678784954,1.290380385,0.929924605,pindu
69,A137,Barombi Mbo,3.045,34.98632176,0.327825361,0.991009016,0.38716371,0.65851871,0.456667445,pindu
70,A144,Barombi Mbo,6.23,37.5917804,0.586659388,2.142534305,0.673662117,1.391019237,0.992922897,pindu
71,A145,Barombi Mbo,5.423,36.85465217,0.555162546,1.851136997,0.614069797,1.214554413,0.887438494,mariae
72,A146,Barombi Mbo,5.755,37.30105558,0.566381311,2.09219749,0.664818476,1.351402319,0.890268206,pindu
73,A151,Barombi Mbo,4.179,34.30758257,0.35870862,1.388936193,0.492893401,0.867833666,0.596410139,mariae
74,A153,Barombi Mbo,4.88,50.80667821,0.490950966,1.608897542,0.531591076,1.013938208,0.72824979,ambiguous
75,A154,Barombi Mbo,7.105,43.09242224,0.692564715,2.556237613,0.690711303,1.57028396,1.117251915,pindu
76,A155,Barombi Mbo,4.203,44.24980558,0.434922122,1.436526083,0.464398341,0.934412824,0.681261284,pindu
77,A156,Barombi Mbo,3.544,40.6165492,0.365932534,1.185760871,0.411030025,0.773992504,0.541132906,ambiguous
78,A157,Barombi Mbo,3.672,37.86951181,0.360039578,1.238110215,0.430307366,0.801555169,0.545763666,mariae
79,A160,Barombi Mbo,2.863,36.80191411,0.300838892,0.925477899,0.334323749,0.664914,0.456744039,pindu
80,A161,Barombi Mbo,7.233,45.04925197,0.745254466,2.53110079,0.736883228,1.553748981,1.142615396,pindu
81,A162,Barombi Mbo,3.66,43.3193512,0.370764243,1.196017709,0.409432255,0.797716635,0.5458704,pindu
82,A164,Barombi Mbo,4.325,38.74553342,0.41061221,1.396915978,0.535668844,0.932821102,0.66715098,mariae
83,A174,Barombi Mbo,5.231,38.44622444,0.502817852,1.701348024,0.563565676,1.108765358,0.743611117,pindu
84,A175,Barombi Mbo,4.382,41.95207188,0.395992136,1.340529749,0.472344403,0.935417167,0.64859331,mariae
85,A179,Barombi Mbo,5.303,41.10664676,0.543833193,1.929017398,0.538477175,1.139286014,0.803795067,pindu
86,A182,Barombi Mbo,5.52,38.66774571,0.569524826,1.997287422,0.580809028,1.220206095,0.86741927,pindu
87,A183,Barombi Mbo,5.114,39.95313777,0.515095484,1.641390128,0.558524847,1.030369197,0.761553183,pindu
88,A184,Barombi Mbo,5.819,72.4413224,0.562845732,2.026449566,0.629268724,1.202505077,0.917123819,pindu
89,A185,Barombi Mbo,4.325,38.07183777,0.447486102,1.476905694,0.495055041,0.995930245,0.68508506,pindu
90,A188,Barombi Mbo,4.225,40.21758326,0.46020261,1.491417246,0.50984782,0.893268017,0.676748472,pindu
91,A190,Barombi Mbo,4.774,40.61262995,0.47882602,1.621419564,0.545867534,0.975790094,0.706656611,pindu
92,A193,Barombi Mbo,4.93,37.0861921,0.514336652,1.7319376,0.564924952,1.1847854,0.797150398,pindu
