individual,At3,Gy2,Gy3,Gy4,Gy5,Co3,Ca3,Pollinarium export,pollinia import
58,0.241182,-0.501751288,-1.025661183,1.609654,0.175978,-1.437333,1.136676,-0.243667683,-0.137928856
59,-0.518076,0.779243782,-1.072638528,-0.614082,-0.506684,0.976666,0.369973,-0.296608859,-0.137928856
60,-1.432201,0.027958778,0.042120495,0.006015,-0.186905,-0.215329,0.262378,-0.315358859,-0.137928856
61,-0.640755,-1.131740223,-0.693745297,-0.221534,0.159414,-1.079986,0.047769,-0.063275526,-0.037928856
62,-0.099743,-0.655466371,-1.07257098,-0.989144,0.048525,0.905310,-0.557864,-0.32074679,-0.03448058
63,-1.972477,-1.423939661,-1.262928007,-2.268113,0.294312,1.318879,-0.802208,0.209451747,-0.016716735
64,0.511072,-3.077470744,-1.90110238,-1.404377,0.476711,-0.963023,0.212409,-0.254503596,-0.058981488
65,-0.778953,-0.637337725,-0.883423908,-1.747090,0.780108,-0.276779,0.127689,0.165891141,-0.044178856
66,2.192697,0.596439543,-0.88287285,0.323067,-0.456832,-0.020713,1.998261,0.220057807,0.1676267
67,-1.606438,-0.246015394,-0.527085383,-1.412691,0.383590,0.742994,-0.346313,-0.168037431,-0.05221457
68,0.952967,1.256596407,-1.344941787,-1.989620,2.448798,-0.083403,-0.084182,0.598629236,0.626833049
69,0.443584,-0.808410031,-1.618814738,-0.769718,0.878354,-1.177138,-1.941912,0.146248283,0.033499715
70,-0.639964,0.370001754,0.018467354,-0.597144,0.671828,-0.674878,-0.822248,0.070057807,0.139848922
71,0.321212,-1.200778847,-1.546808958,0.015431,0.474683,0.102067,-0.938364,0.309641141,0.299571144
72,-1.758805,0.644771991,-0.502490777,-1.266601,0.631088,1.046694,-1.938415,-0.163275526,-0.104595523
73,0.352641,-1.012647212,-0.574201086,0.216739,0.878525,0.587992,0.489926,0.136724474,-0.037928856
74,0.388472,-0.347320202,-0.544799315,-1.070965,1.156776,1.105102,-0.490753,0.45602272,0.493650091
75,0.138908,-1.071480179,-1.379663659,-2.153855,0.195537,0.792952,0.094463,0.330663868,0.195404477
76,1.087906,-0.184429954,0.263525361,-0.139925,0.725618,-0.183805,1.298584,0.306616947,0.539490499
77,-0.075661,-1.126146384,-0.687795987,-0.588015,-1.336931,0.287163,1.457171,-0.025180288,0.004928287
78,-0.289897,-0.616358427,-1.665321816,-1.182121,1.204250,0.997157,-1.459477,0.153391141,0.254928287
79,-1.142757,1.334135603,0.077643491,-0.231560,1.070407,-0.737257,0.401181,-0.110122373,0.105314387
80,0.386676,-1.082445597,-0.8826045,-0.378632,0.076691,0.179599,1.339323,0.336724474,0.428737811
81,-0.538710,-1.672869606,-0.882034718,0.322702,1.008165,-1.227542,0.797208,-0.211993475,-0.061005779
82,1.460928,-1.893966701,-1.521604563,0.796093,-0.205878,0.993179,0.289835,0.309641141,0.049571144
83,0.449020,-1.273634756,-1.806477844,0.980745,-0.746383,0.778109,1.320922,-0.164176427,-0.029820748
84,0.356362,-1.381945941,-1.138916813,1.165571,-0.357663,1.127219,-0.524302,0.486724474,0.389848922
85,1.944386,-1.434950086,-1.854978508,-0.229766,-0.113934,1.186595,-0.668981,0.025012762,-0.056847775
86,-0.417269,-0.249860382,0.215076984,-0.329226,1.332957,1.239072,-0.612285,0.209842754,0.023361467
87,-1.410572,-0.209100514,-0.074708207,0.292775,0.557040,2.643850,-0.115071,0.391269928,0.389848922
88,2.205135,-0.125804831,0.373383783,1.439350,0.226016,-0.006074,1.354115,0.236724474,-0.137928856
89,1.398289,-0.466181585,-0.361246657,-0.337826,-0.841522,1.004152,0.458348,0.577304184,0.122940709
90,1.264810,0.905059546,0.660643189,0.286095,0.022258,0.691790,1.391517,0.251875989,0.195404477
91,1.347375,-0.129202388,0.25803654,-1.478547,1.047663,-0.598872,-1.391528,-0.063275526,-0.104595523
92,0.914240,0.29173932,-0.202899432,-1.561941,0.828381,0.573894,1.048348,0.090891141,-0.044178856
93,-0.583429,-0.530991905,-1.130200047,-0.748072,0.101130,-0.666524,-0.477157,-0.111760375,-0.047019765
94,0.781769,0.614914595,1.63510624,0.184060,-0.559475,-0.560846,1.143608,-0.159108859,-0.044178856
95,1.104896,0.680526178,1.066178418,1.041030,-1.136609,-0.083304,-0.314081,0.271812193,0.204176407
96,0.578835,-1.486535261,-1.030694281,-0.857086,1.647120,0.836120,0.041894,0.37308811,0.377222659
97,1.302793,0.04636013,0.313970377,-0.703746,1.370150,-1.107638,0.709355,-0.155432389,-0.020281797
98,0.801295,-0.048166698,-0.486310845,0.809185,0.408857,0.661323,0.316540,-0.293578556,-0.047019765
99,-0.040574,0.080404485,0.408592852,-0.419139,-0.616354,0.252760,2.013653,0.431962569,0.262071144
100,1.014701,-0.035386187,0.113412749,3.004398,1.505204,-3.869805,-0.615889,-0.266608859,-0.015121838
101,-0.834080,-0.032067815,0.256187647,0.711042,-1.780879,-0.100387,-0.689686,-0.172366435,-0.047019765
102,0.218585,0.291025112,0.32930184,-0.570244,0.542195,0.745119,-0.760124,-0.329942193,0.062071144
103,0.788807,-0.730038875,0.258194046,0.870671,0.564168,-0.331318,0.094822,-0.218230481,-0.029820748
104,-0.205644,-0.090743019,0.706056931,0.771241,-1.179056,-0.878358,0.239606,-0.263275526,-0.110151078
105,-0.847167,-0.282840338,-0.470586905,0.424509,-1.016079,0.925559,1.169684,-0.121608859,0.237071144
106,-0.379441,1.235658254,-0.448646963,0.151635,-1.296716,1.653683,-0.894810,0.167027504,-0.016716735
107,-0.595862,1.949501622,-0.241235891,-1.301663,1.254472,-0.238741,1.644710,0.589437652,0.117885098
108,-0.133723,0.134455421,0.238343455,1.012764,-0.717210,0.663958,1.278139,-0.096608859,-0.0823733
109,0.266324,-0.032295271,-0.442467241,0.978353,-0.154403,0.387463,2.030838,0.060533998,0.062071144
110,-1.298718,-1.372048902,-0.836024925,0.334987,-0.520330,1.569486,-2.449741,-0.144995956,-0.105670791
111,-0.668923,1.10316279,0.420186698,0.135283,-0.376579,0.276299,-0.301746,0.174819712,0.14778543
112,-1.381583,2.113441036,1.843929453,-0.260960,-0.312362,0.515924,-0.632206,-0.363275526,-0.026817745
113,-0.817827,2.348865965,0.610191797,0.045299,0.001223,-0.505778,0.268598,-0.202669465,-0.107625826
114,-0.523553,0.728225624,1.251237684,-1.600672,0.573282,-0.096362,-0.032503,0.044416782,-0.035364753
115,1.129712,0.817597958,-0.077553025,-0.377814,-0.474679,1.054088,1.226486,-0.054942193,0.112071144
116,0.171375,0.443381449,-0.147784153,-0.001205,-0.256620,2.524464,-0.620064,0.46436675,-0.089148368
117,0.497745,0.930526279,-0.192918527,0.774054,-0.047024,1.073256,0.245676,-0.008373565,0.067953497
118,0.470300,2.154901673,1.20911456,-0.016266,-1.054340,0.800361,1.447766,-0.061725138,-0.0449056
119,-1.392223,1.990366153,0.562662135,0.016286,1.056770,-0.499335,-0.756282,-0.178004208,-0.068161414
120,-1.050529,-0.18647364,-0.666899049,0.090446,-0.504427,0.675425,-0.918019,-0.246608859,-0.062928856
121,-0.709674,-0.857279044,-0.755536564,-0.922727,-0.651642,0.882104,-0.114834,-0.11834799,-0.050972334
122,-0.020499,1.293629711,0.545075398,-0.113197,0.236126,0.004677,-1.213389,-0.022140774,0.112071144
123,0.385354,1.308428137,0.280762531,0.151476,0.870186,0.568615,-1.447825,-0.071608859,-0.062928856
124,1.700709,0.739151691,-0.594679062,0.177202,0.816196,-0.045804,-0.024994,0.253391141,-0.062928856
125,0.625108,-0.841437475,-0.383101703,-0.027205,0.183075,0.070032,-1.259522,-0.24777165,-0.137928856
